,customer_id,customer_last_name,customer_district,customer_city,customer_country,category_name,release_year,rating,language,cluster
71,410.0,Irby,Ontario,Richmond Hill,Canada,Family,2006,G,English             ,278
72,266.0,Herrera,Salzburg,Salzburg,Austria,Family,2006,G,English             ,636
73,32.0,Lopez,Uttar Pradesh,Jhansi,India,Family,2006,G,English             ,1852
74,127.0,Stevens,Smolensk,Smolensk,Russian Federation,Family,2006,G,English             ,278
75,497.0,Sledge,England,York,United Kingdom,Family,2006,G,English             ,220
76,49.0,Edwards,Mekka,Jedda,Saudi Arabia,Family,2006,G,English             ,140
77,590.0,Hannon,al-Manama,al-Manama,Bahrain,Family,2006,G,English             ,561
78,391.0,Gamez,Osaka,Izumisano,Japan,Foreign,2006,PG,English             ,1183
79,45.0,Phillips,Antofagasta,Antofagasta,Chile,Foreign,2006,PG,English             ,58
80,506.0,Seward,Kalimantan Barat,Pontianak,Indonesia,Foreign,2006,PG,English             ,548
81,585.0,Swafford,Buenos Aires,Quilmes,Argentina,Foreign,2006,PG,English             ,1842
82,183.0,Andrews,Gois,Luzinia,Brazil,Foreign,2006,PG,English             ,1426
83,46.0,Campbell,Moscow (City),Moscow,Russian Federation,Foreign,2006,PG,English             ,496
84,355.0,Grissom,Shimane,Matsue,Japan,Foreign,2006,PG,English             ,302
85,14.0,White,California,Citrus Heights,United States,Foreign,2006,PG,English             ,58
86,389.0,Kahn,Sichuan,Emeishan,China,Foreign,2006,PG,English             ,136
87,5.0,Brown,Nantou,Nantou,Taiwan,Foreign,2006,PG,English             ,496
88,209.0,Chapman,Rajasthan,Bhilwara,India,Foreign,2006,PG,English             ,43
89,108.0,Cole,Mxico,Huixquilucan,Mexico,Foreign,2006,PG,English             ,427
90,50.0,Collins,Khartum,Omdurman,Sudan,Foreign,2006,PG,English             ,1426
91,527.0,Meehan,Mogiljov,Mogiljov,Belarus,Foreign,2006,PG,English             ,1494
92,482.0,Crawley,Veracruz,Coatzacoalcos,Mexico,Foreign,2006,PG,English             ,1494
93,213.0,Williamson,Taizz,Taizz,Yemen,Foreign,2006,PG,English             ,338
94,320.0,Schwab,Tutuila,Tafuna,American Samoa,Foreign,2006,PG,English             ,279
95,537.0,Buford,Colorado,Aurora,United States,Foreign,2006,PG,English             ,241
96,214.0,Johnston,California,Sunnyvale,United States,Foreign,2006,PG,English             ,520
97,204.0,Schmidt,Usak,Usak,Turkey,Foreign,2006,PG,English             ,146
98,38.0,Gonzalez,Chisinau,Chisinau,Moldova,Foreign,2006,PG,English             ,947
99,369.0,Wheat,Chihuahua,Jurez,Mexico,Comedy,2006,PG-13,English             ,162
100,471.0,Sauer,Gauteng,Johannesburg,South Africa,Comedy,2006,PG-13,English             ,162
101,388.0,Morrell,Southern Tagalog,Cavite,Philippines,Comedy,2006,PG-13,English             ,1084
102,273.0,Lowe,Guanajuato,Salamanca,Mexico,Comedy,2006,PG-13,English             ,1315
103,87.0,Patterson,Sucre,Sincelejo,Colombia,Comedy,2006,PG-13,English             ,1934
104,81.0,Henderson,Mahajanga,Mahajanga,Madagascar,Comedy,2006,PG-13,English             ,1315
105,531.0,Waugh,Mie,Kuwana,Japan,Comedy,2006,PG-13,English             ,1084
106,154.0,Grant,Shanxi,Yuncheng,China,Comedy,2006,PG-13,English             ,1110
107,184.0,Ruiz,Noord-Brabant,s-Hertogenbosch,Netherlands,Comedy,2006,PG-13,English             ,1988
108,387.0,Schilling,Shaba,Lubumbashi,"Congo, The Democratic Republic of the",Comedy,2006,PG-13,English             ,190
109,93.0,Foster,Inner Mongolia,Zalantun,China,Comedy,2006,PG-13,English             ,761
110,429.0,Isbell,Okayama,Tsuyama,Japan,Comedy,2006,PG-13,English             ,1856
111,54.0,Rogers,Yamaguchi,Iwakuni,Japan,Comedy,2006,PG-13,English             ,190
112,202.0,Gutierrez,Maharashtra,Bhusawal,India,Comedy,2006,PG-13,English             ,994
113,310.0,Cabral,Minas Gerais,Ibirit,Brazil,Comedy,2006,PG-13,English             ,359
114,365.0,Schwarz,Okinawa,Okinawa,Japan,Horror,2006,R,English             ,938
115,57.0,Morgan,Vaduz,Vaduz,Liechtenstein,Horror,2006,R,English             ,73
116,268.0,Soto,Kerala,Palghat (Palakkad),India,Horror,2006,R,English             ,1943
117,166.0,Payne,Lilongwe,Lilongwe,Malawi,Horror,2006,R,English             ,1846
118,275.0,Barnett,Illinois,Peoria,United States,Horror,2006,R,English             ,944
119,303.0,Satterfield,Sanaa,Sanaa,Yemen,Horror,2006,R,English             ,1297
120,352.0,Crouse,Nord-Ouest,Bamenda,Cameroon,Horror,2006,R,English             ,651
121,96.0,Alexander,Georgia,Augusta-Richmond County,United States,Horror,2006,R,English             ,560
122,72.0,Watson,National Capital Reg,Taguig,Philippines,Horror,2006,R,English             ,1297
123,144.0,Shaw,Minsk,Molodetno,Belarus,Horror,2006,R,English             ,503
124,425.0,Sikes,Oaxaca,San Juan Bautista Tuxtepec,Mexico,Horror,2006,R,English             ,1297
125,332.0,Qualls,Dhaka,Dhaka,Bangladesh,Horror,2006,R,English             ,442
127,116.0,Gibson,Central Java,Pemalang,Indonesia,Horror,2006,R,English             ,536
128,262.0,Davidson,Manab,Portoviejo,Ecuador,Horror,2006,R,English             ,499
129,448.0,Betancourt,Baijeri,Erlangen,Germany,Horror,2006,R,English             ,1790
130,141.0,Reyes,Hiroshima,Fukuyama,Japan,Horror,2006,R,English             ,119
131,501.0,Geary,Lubelskie,Lublin,Poland,Horror,2006,R,English             ,1090
132,305.0,Mccrary,Texas,Arlington,United States,Horror,2006,PG-13,English             ,1747
133,491.0,Mattox,al-Daqahliya,Mit Ghamr,Egypt,Horror,2006,PG-13,English             ,702
134,158.0,Stone,North Carolina,Greensboro,United States,Horror,2006,PG-13,English             ,1413
135,507.0,Rhoads,Eskisehir,Eskisehir,Turkey,Horror,2006,PG-13,English             ,896
136,372.0,Mackenzie,East Java,Probolinggo,Indonesia,Horror,2006,PG-13,English             ,1122
137,214.0,Johnston,California,Sunnyvale,United States,Horror,2006,PG-13,English             ,559
138,547.0,Emmons,Ishikawa,Kanazawa,Japan,Horror,2006,PG-13,English             ,559
139,514.0,Troutman,Hubei,Zaoyang,China,Horror,2006,PG-13,English             ,1670
140,75.0,Sanders,Changhwa,Changhwa,Taiwan,Horror,2006,PG-13,English             ,400
141,463.0,Power,Nova Scotia,Halifax,Canada,Horror,2006,PG-13,English             ,125
142,226.0,Little,Asuncin,Asuncin,Paraguay,Horror,2006,PG-13,English             ,1766
143,285.0,Mckinney,Shiga,Otsu,Japan,Horror,2006,PG-13,English             ,1795
144,89.0,Flores,Buenos Aires,La Plata,Argentina,Sports,2006,NC-17,English             ,851
145,470.0,Allard,Hodeida,Hodeida,Yemen,Sports,2006,NC-17,English             ,1253
146,570.0,Cromwell,Coahuila de Zaragoza,Monclova,Mexico,Sports,2006,NC-17,English             ,851
147,259.0,Jensen,West Bengali,Halisahar,India,Sports,2006,NC-17,English             ,1073
148,120.0,Ortiz,Risaralda,Dos Quebradas,Colombia,Sports,2006,NC-17,English             ,1815
149,55.0,Reed,Moskova,Balaiha,Russian Federation,Sports,2006,NC-17,English             ,13
150,358.0,Marlow,Jharkhand,Ranchi,India,Sports,2006,NC-17,English             ,5
151,409.0,Moeller,Bauchi & Gombe,Deba Habe,Nigeria,Sports,2006,NC-17,English             ,368
152,370.0,Truong,Karnataka,Gulbarga,India,Sports,2006,NC-17,English             ,1561
153,391.0,Gamez,Osaka,Izumisano,Japan,Sports,2006,NC-17,English             ,987
154,481.0,Devore,Mwanza,Mwanza,Tanzania,Sports,2006,NC-17,English             ,987
155,18.0,Garcia,Kaduna,Kaduna,Nigeria,Sports,2006,NC-17,English             ,851
156,10.0,Taylor,Esfahan,Esfahan,Iran,Sports,2006,NC-17,English             ,1668
157,490.0,Mcduffie,Boyac,Sogamoso,Colombia,Sports,2006,NC-17,English             ,286
158,367.0,Gooch,Andhra Pradesh,Adoni,India,Sports,2006,NC-17,English             ,898
159,265.0,Terry,Severn Morava,Olomouc,Czech Republic,Sports,2006,NC-17,English             ,452
160,539.0,Bolin,Carabobo,Valencia,Venezuela,Sports,2006,NC-17,English             ,282
161,365.0,Schwarz,Okinawa,Okinawa,Japan,Sports,2006,NC-17,English             ,1172
162,93.0,Foster,Inner Mongolia,Zalantun,China,Sports,2006,NC-17,English             ,1247
163,193.0,Elliott,Nyanza,Kisumu,Kenya,Sports,2006,NC-17,English             ,1256
164,286.0,Lucas,Oyo & Osun,Effon-Alaiye,Nigeria,Sports,2006,NC-17,English             ,93
165,477.0,Paine,England,Stockport,United Kingdom,Sports,2006,NC-17,English             ,741
166,247.0,Moreno,Mxico,Coacalco de Berriozbal,Mexico,Sports,2006,NC-17,English             ,899
167,324.0,Coy,Henan,Yuzhou,China,Foreign,2006,G,English             ,1438
168,74.0,Kelly,So Paulo,Rio Claro,Brazil,Foreign,2006,G,English             ,1574
169,244.0,Hanson,Central Visayas,Lapu-Lapu,Philippines,Foreign,2006,G,English             ,595
170,280.0,Barrett,Ondo & Ekiti,Owo,Nigeria,Foreign,2006,G,English             ,448
171,80.0,Ross,Oyo & Osun,Ife,Nigeria,Foreign,2006,G,English             ,140
172,351.0,Foust,Krasnojarsk,Zeleznogorsk,Russian Federation,Foreign,2006,G,English             ,1438
173,373.0,Leone,Southern Tagalog,Tanauan,Philippines,Foreign,2006,G,English             ,1574
174,114.0,Ellis,Nordrhein-Westfalen,Duisburg,Germany,Foreign,2006,G,English             ,1282
175,413.0,Yee,West Bengali,Berhampore (Baharampur),India,Foreign,2006,G,English             ,1786
176,215.0,Banks,Haskovo,Stara Zagora,Bulgaria,Foreign,2006,G,English             ,448
177,116.0,Gibson,Central Java,Pemalang,Indonesia,Foreign,2006,G,English             ,1282
178,315.0,Gooden,Tel Aviv,Bat Yam,Israel,Foreign,2006,G,English             ,1531
179,421.0,Hawks,Tamil Nadu,Pudukkottai,India,Foreign,2006,G,English             ,1574
180,4.0,Jones,Mandalay,Myingyan,Myanmar,Foreign,2006,G,English             ,432
181,56.0,Cook,Tahiti,Papeete,French Polynesia,Foreign,2006,G,English             ,773
182,360.0,Madrigal,Arecibo,Arecibo,Puerto Rico,Foreign,2006,G,English             ,663
183,90.0,Washington,Guangdong,Meixian,China,Foreign,2006,G,English             ,1826
184,474.0,Gillette,Drenthe,Emmen,Netherlands,Foreign,2006,G,English             ,854
185,118.0,Cruz,Texas,Grand Prairie,United States,Foreign,2006,G,English             ,1712
186,538.0,Breaux,Jilin,Baicheng,China,Foreign,2006,G,English             ,595
187,548.0,Cornish,Central Luzon,Tarlac,Philippines,Foreign,2006,G,English             ,661
188,244.0,Hanson,Central Visayas,Lapu-Lapu,Philippines,Foreign,2006,G,English             ,595
189,233.0,Kim,Qina,Idfu,Egypt,Foreign,2006,G,English             ,422
190,168.0,Berry,Gansu,Jinchang,China,Foreign,2006,G,English             ,371
191,538.0,Breaux,Jilin,Baicheng,China,Music,2006,PG,English             ,360
192,422.0,Ellington,Hubei,Laohekou,China,Music,2006,PG,English             ,1557
193,146.0,Rice,Michigan,Sterling Heights,United States,Music,2006,PG,English             ,1309
194,440.0,Colby,Maharashtra,Dhule (Dhulia),India,Music,2006,PG,English             ,1179
195,67.0,Torres,Hunan,Xiangtan,China,Music,2006,PG,English             ,35
196,5.0,Brown,Nantou,Nantou,Taiwan,Music,2006,PG,English             ,719
197,573.0,Box,Qaraghandy,Zhezqazghan,Kazakstan,Music,2006,PG,English             ,1113
198,395.0,Turpin,al-Qadarif,al-Qadarif,Sudan,Music,2006,PG,English             ,1578
199,70.0,Ramirez,Mekka,al-Hawiya,Saudi Arabia,Music,2006,PG,English             ,843
200,50.0,Collins,Khartum,Omdurman,Sudan,Music,2006,PG,English             ,1058
201,447.0,Bowens,Tatarstan,Nabereznyje Telny,Russian Federation,Music,2006,PG,English             ,696
202,115.0,Harrison,Mxico,Nezahualcyotl,Mexico,Music,2006,PG,English             ,719
203,246.0,Mendoza,Paran,Maring,Brazil,Music,2006,PG,English             ,35
204,302.0,Silverman,Liaoning,Tiefa,China,Music,2006,PG,English             ,843
205,473.0,Olivares,Aceh,Lhokseumawe,Indonesia,Music,2006,PG,English             ,161
206,440.0,Colby,Maharashtra,Dhule (Dhulia),India,Music,2006,PG,English             ,1179
207,160.0,Dunn,Moskova,Ljubertsy,Russian Federation,Music,2006,PG,English             ,1058
208,62.0,Cooper,Missouri,Saint Louis,United States,Music,2006,PG,English             ,356
209,325.0,Bunn,Distrito Federal,Braslia,Brazil,Music,2006,PG,English             ,1892
210,223.0,Fernandez,Punjab,Mandi Bahauddin,Pakistan,Music,2006,PG,English             ,1601
211,573.0,Box,Qaraghandy,Zhezqazghan,Kazakstan,Music,2006,PG,English             ,1113
212,275.0,Barnett,Illinois,Peoria,United States,Music,2006,PG,English             ,229
213,139.0,Dixon,Ynlin,Touliu,Taiwan,Music,2006,PG,English             ,1113
214,209.0,Chapman,Rajasthan,Bhilwara,India,Music,2006,PG,English             ,510
215,48.0,Evans,Tatarstan,Niznekamsk,Russian Federation,Music,2006,PG,English             ,696
216,592.0,Roush,Fejr,Szkesfehrvr,Hungary,Music,2006,PG,English             ,147
217,153.0,Nichols,Jakarta Raya,Jakarta,Indonesia,Horror,2006,PG,English             ,1432
218,10.0,Taylor,Esfahan,Esfahan,Iran,Horror,2006,PG,English             ,1135
219,467.0,Deloach,Chihuahua,Cuauhtmoc,Mexico,Horror,2006,PG,English             ,161
220,469.0,Bull,Galicia,Ourense (Orense),Spain,Horror,2006,PG,English             ,1883
221,387.0,Schilling,Shaba,Lubumbashi,"Congo, The Democratic Republic of the",Horror,2006,PG,English             ,673
222,292.0,Lambert,Sharja,Sharja,United Arab Emirates,Horror,2006,PG,English             ,1206
223,57.0,Morgan,Vaduz,Vaduz,Liechtenstein,Horror,2006,PG,English             ,74
224,346.0,Simpkins,Adygea,Maikop,Russian Federation,Horror,2006,PG,English             ,1135
225,108.0,Cole,Mxico,Huixquilucan,Mexico,Horror,2006,PG,English             ,622
226,111.0,Owens,Distrito Federal,Caracas,Venezuela,Foreign,2006,NC-17,English             ,207
227,495.0,Bess,Gansu,Baiyin,China,Foreign,2006,NC-17,English             ,210
228,241.0,Larson,Hubei,Xiangfan,China,Foreign,2006,NC-17,English             ,1621
229,348.0,Quintanilla,Taipei,Hsichuh,Taiwan,Foreign,2006,NC-17,English             ,1711
230,546.0,Knott,Hainan,Sanya,China,Foreign,2006,NC-17,English             ,456
231,445.0,Forman,Buenos Aires,Escobar,Argentina,Foreign,2006,NC-17,English             ,210
232,267.0,Wade,Hunan,Lengshuijiang,China,Foreign,2006,NC-17,English             ,469
233,389.0,Kahn,Sichuan,Emeishan,China,Foreign,2006,NC-17,English             ,1738
234,181.0,Bradley,Tennessee,Memphis,United States,Foreign,2006,NC-17,English             ,701
235,86.0,Long,Songkhla,Songkhla,Thailand,Foreign,2006,NC-17,English             ,628
236,451.0,Rea,Sinaloa,El Fuerte,Mexico,Foreign,2006,NC-17,English             ,31
237,410.0,Irby,Ontario,Richmond Hill,Canada,Foreign,2006,NC-17,English             ,1621
238,53.0,Morris,Chiba,Nagareyama,Japan,Foreign,2006,NC-17,English             ,781
239,185.0,Harper,Chaharmahal va Bakht,Shahr-e Kord,Iran,Foreign,2006,NC-17,English             ,1930
240,418.0,East,Puerto Plata,San Felipe de Puerto Plata,Dominican Republic,Foreign,2006,NC-17,English             ,1504
241,573.0,Box,Qaraghandy,Zhezqazghan,Kazakstan,Foreign,2006,NC-17,English             ,863
242,47.0,Parker,Cear,Juazeiro do Norte,Brazil,Foreign,2006,NC-17,English             ,1069
243,7.0,Miller,Central Serbia,Kragujevac,Yugoslavia,Foreign,2006,NC-17,English             ,460
244,464.0,Kenyon,OHiggins,Rancagua,Chile,Foreign,2006,NC-17,English             ,1621
245,113.0,Fisher,Sucre,Cuman,Venezuela,Foreign,2006,NC-17,English             ,964
246,398.0,Meek,Rio Grande do Sul,Bag,Brazil,Foreign,2006,NC-17,English             ,469
247,582.0,Vanhorn,Hidalgo,Huejutla de Reyes,Mexico,Foreign,2006,NC-17,English             ,1266
248,25.0,Walker,Sind,Shikarpur,Pakistan,Foreign,2006,NC-17,English             ,1219
249,581.0,Wofford,Guerrero,Jos Azueta,Mexico,Foreign,2006,NC-17,English             ,1266
250,343.0,Graf,Baja California,Mexicali,Mexico,Foreign,2006,NC-17,English             ,1069
251,586.0,Stclair,Nantou,Tsaotun,Taiwan,Foreign,2006,NC-17,English             ,716
252,210.0,Oliver,Aden,Aden,Yemen,Foreign,2006,NC-17,English             ,1192
253,270.0,Curtis,Wielkopolskie,Kalisz,Poland,Foreign,2006,NC-17,English             ,701
254,368.0,Arce,Esfahan,Najafabad,Iran,Foreign,2006,NC-17,English             ,631
255,112.0,Reynolds,California,Lancaster,United States,Foreign,2006,NC-17,English             ,460
256,536.0,Churchill,Kang-won,Tonghae,South Korea,Foreign,2006,NC-17,English             ,195
257,282.0,Castro,Ponce,Ponce,Puerto Rico,Foreign,2006,NC-17,English             ,701
258,261.0,Byrd,Cagayan Valley,Tuguegarao,Philippines,Foreign,2006,NC-17,English             ,1401
259,535.0,Elrod,Chari-Baguirmi,NDjamna,Chad,Foreign,2006,NC-17,English             ,1825
260,10.0,Taylor,Esfahan,Esfahan,Iran,Foreign,2006,NC-17,English             ,460
261,185.0,Harper,Chaharmahal va Bakht,Shahr-e Kord,Iran,Foreign,2006,NC-17,English             ,1930
262,335.0,Mauldin,Sousse,Sousse,Tunisia,Music,2006,R,English             ,242
263,236.0,Dean,Southern Tagalog,Tanza,Philippines,Music,2006,R,English             ,317
264,371.0,Poulin,Southern Tagalog,Cabuyao,Philippines,Music,2006,R,English             ,536
265,523.0,Guajardo,Nghe An,Vinh,Vietnam,Music,2006,R,English             ,825
266,30.0,King,Taipei,Lungtan,Taiwan,Music,2006,R,English             ,989
267,481.0,Devore,Mwanza,Mwanza,Tanzania,Music,2006,R,English             ,677
268,146.0,Rice,Michigan,Sterling Heights,United States,Music,2006,R,English             ,197
269,428.0,Kruger,Komi,Syktyvkar,Russian Federation,Music,2006,R,English             ,920
270,87.0,Patterson,Sucre,Sincelejo,Colombia,Music,2006,R,English             ,1924
271,36.0,Adams,Markazi,Arak,Iran,Music,2006,R,English             ,1357
272,359.0,Markham,Buenos Aires,Almirante Brown,Argentina,Music,2006,R,English             ,712
273,360.0,Madrigal,Arecibo,Arecibo,Puerto Rico,Music,2006,R,English             ,1947
274,164.0,Gardner,Adana,Tarsus,Turkey,Music,2006,R,English             ,1726
275,535.0,Elrod,Chari-Baguirmi,NDjamna,Chad,Music,2006,R,English             ,760
276,261.0,Byrd,Cagayan Valley,Tuguegarao,Philippines,Music,2006,R,English             ,677
277,165.0,Stephens,Xinxiang,Hami,China,Music,2006,R,English             ,499
278,108.0,Cole,Mxico,Huixquilucan,Mexico,Music,2006,R,English             ,1836
279,386.0,Tan,Hmelnytskyi,Kamjanets-Podilskyi,Ukraine,Music,2006,R,English             ,1486
280,523.0,Guajardo,Nghe An,Vinh,Vietnam,Animation,2006,PG-13,English             ,103
281,411.0,Currier,West Java,Cianjur,Indonesia,Animation,2006,PG-13,English             ,1773
282,438.0,Lovelace,Copperbelt,Kitwe,Zambia,Animation,2006,PG-13,English             ,176
283,91.0,Butler,Brunei and Muara,Bandar Seri Begawan,Brunei,Animation,2006,PG-13,English             ,857
284,33.0,Hill,Piemonte,Alessandria,Italy,Animation,2006,PG-13,English             ,1211
285,313.0,Mahon,Hubei,Ezhou,China,Animation,2006,PG-13,English             ,47
286,426.0,Motley,Jharkhand,Purnea (Purnia),India,Animation,2006,PG-13,English             ,1917
287,449.0,Aquino,Kerman,Sirjan,Iran,Animation,2006,PG-13,English             ,844
288,147.0,Robertson,Saitama,Urawa,Japan,Animation,2006,PG-13,English             ,572
289,393.0,Causey,Moskova,Korolev,Russian Federation,Animation,2006,PG-13,English             ,481
290,560.0,Archuleta,Buenos Aires,Avellaneda,Argentina,Animation,2006,PG-13,English             ,857
291,302.0,Silverman,Liaoning,Tiefa,China,Animation,2006,PG-13,English             ,680
292,442.0,Bustamante,Inner Mongolia,Tongliao,China,Animation,2006,PG-13,English             ,103
293,392.0,Douglass,Addis Abeba,Addis Abeba,Ethiopia,Animation,2006,PG-13,English             ,806
294,510.0,Easter,Volgograd,Kamyin,Russian Federation,Animation,2006,PG-13,English             ,844
295,406.0,Runyon,St Thomas,Charlotte Amalie,"Virgin Islands, U.S.",Animation,2006,PG-13,English             ,1117
296,29.0,Hernandez,Yamaguchi,Shimonoseki,Japan,Animation,2006,PG-13,English             ,1059
297,125.0,Webb,Gauteng,Boksburg,South Africa,Animation,2006,PG-13,English             ,15
298,90.0,Washington,Guangdong,Meixian,China,Animation,2006,PG-13,English             ,1117
299,485.0,Tobias,Guangdong,Shaoguan,China,Animation,2006,PG-13,English             ,1917
300,5.0,Brown,Nantou,Nantou,Taiwan,Animation,2006,PG-13,English             ,21
301,468.0,Cary,Karnataka,Bijapur,India,Animation,2006,PG-13,English             ,47
302,77.0,Bennett,So Paulo,Araatuba,Brazil,Action,2006,PG,English             ,350
303,39.0,Nelson,Esprito Santo,Vila Velha,Brazil,Action,2006,PG,English             ,1719
304,34.0,Scott,Okayama,Kurashiki,Japan,Action,2006,PG,English             ,1898
